18:33:28,522 INFO  [App] Injecting checker: TypeCardinalityChecker
18:33:28,548 INFO  [App] Injecting checker: CardinalityChecker
18:33:28,549 INFO  [App] Injecting checker: DocumentTypeLister
18:33:28,597 INFO  [App] Starting esync...
18:33:28,602 INFO  [App] Executing 3 checkers with a pool of 3 thread(s).
18:33:28,608 INFO  [InfoListener] TypeCardinalityChecker: Starting
18:33:28,609 INFO  [InfoListener] CardinalityChecker: Starting
18:36:48,902 ERROR [MissingListener] MISS: 1909816d-70e6-49f3-a39a-1635b5262a68, type SampleCustomPicture
18:36:48,902 ERROR [MissingListener] MISS: 5e93db18-9a1f-4b26-a19b-f389c44f5eb8, type SampleCustomPicture
18:36:48,902 ERROR [MissingListener] MISS: 8598e676-edaf-47b7-a88c-98e1a8fe25ef, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 96b0abb6-eda3-4cec-92de-3971a8da62aa, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 88beddb0-311d-4fe7-bbc1-ffce62935749, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: d972a34f-fb62-4695-94b1-d57a0772ed53, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 2819217d-1e77-4dc2-8409-69271060dee1, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 84275a13-698e-4d0e-a6f4-b8910a5bafb1, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 9b9bbc6c-5ade-4c7f-a3db-60315e511650, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: b806a393-49f3-46d5-9d8d-71ed84f87a97, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: e250d1b1-6a1e-4a47-8f69-a85459021a8d, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 403b4e4d-bb98-4064-a94f-8b7e79f520c5, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 23d6193b-d9e4-491d-86d9-db5c984ec2a0, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: b9c95991-4961-44be-974e-f7944e5e1555, type SampleCustomPicture
18:36:48,903 ERROR [MissingListener] MISS: 21318e24-c824-487d-ab68-3d9723e6e371, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: 58a7cc29-84aa-419f-8dc5-92919d82769b, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: ffd06107-1d6a-4498-bebe-fe7415bd9d65, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: ddb2faef-5fb0-430c-b37d-37c91e45630e, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: 2677d395-bd9a-4d26-b423-bb23b8d394b9, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: 87a9113a-63ef-443f-aad0-5fdfd9f5ffad, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: a4493c5f-48b9-45a0-abde-453c635e4898, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: ea8a6974-4119-4aac-bc47-558ce1103aac, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: dd1e325a-8dd1-42fd-a457-358b79d6cbab, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: 9c1de402-2c9c-4cb6-a3bd-235bab044ee3, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: 0b9d127a-3a67-4206-aa48-f11c6b2bb45c, type SampleCustomPicture
18:36:48,904 ERROR [MissingListener] MISS: 4e98b630-f5e5-41c9-959e-94e7294e44af, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: b6200d17-4ef1-443f-a681-e07712fb74e0, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 68524785-f7e7-4fea-8388-db8270542157, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 3445cc5c-9994-4adf-95fb-047451db2f88, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: d559e369-0fd9-4eb1-95fe-9b25687721dd, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 40b0a4f6-10c9-4e3d-a252-938f55b9b086, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: ac076ab5-a1c4-4909-ab8c-93959677bcc4, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: d58ff525-87db-44d0-8240-c0652c31acc2, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: bee7937c-9ce9-4467-b770-5adae9cc1acb, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 35f78cbb-82c4-4446-9588-336397d5bfb9, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 415def60-dff8-4377-adec-8b1e8a502d90, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 433c5c13-b5d1-4899-9262-9b76d4dac461, type SampleCustomPicture
18:36:48,905 ERROR [MissingListener] MISS: 15abb793-e35b-4dd2-a5b8-3a36957491d3, type SampleCustomPicture
